Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.30680202780733E-00001, 0.46874217204693E-00003, 0.46818072673321E-00003, 0.12498562825467E+00000, 0.12498562368589E+00000, 0.37499363113570E+00000, 0.46874210037555E-00003, 0.46874217204693E-00003, 0.46874212426601E-00003, -.56139753279656E-00006, 0.19994148157897E+00001, 0.10000001005768E+00001, 0.28865853905571E+00000, -.10671740769221E+00002, 0.46874202870420E-00003, 0.95561836852998E-00010
0.61360766281235E-00001, 0.46882740987295E-00003, 0.46702074948303E-00003, 0.12497134435591E+00000, 0.12497128060113E+00000, 0.37506103168755E+00000, 0.46882677177057E-00003, 0.46882740987295E-00003, 0.46882698447137E-00003, -.18062349883340E-00005, 0.19978908331395E+00001, 0.10000001816208E+00001, 0.28864204401059E+00000, -.10671740971710E+00002, 0.46882613366826E-00003, 0.85080311154427E-00009
0.92041771373854E-00001, 0.46900496494180E-00003, 0.46831406566563E-00003, 0.12495718749119E+00000, 0.12495693809374E+00000, 0.37520263929464E+00000, 0.46900381735804E-00003, 0.46900496494180E-00003, 0.46900419988595E-00003, -.69013422031714E-00006, 0.19954334656308E+00001, 0.10000002635324E+00001, 0.28862569473419E+00000, -.10671741174259E+00002, 0.46900266977431E-00003, 0.15301116631676E-00008
0.12272289495142E+00000, 0.46927320344905E-00003, 0.46895645031892E-00003, 0.12494309089663E+00000, 0.12494255045009E+00000, 0.37541853637922E+00000, 0.46927248797365E-00003, 0.46927320344905E-00003, 0.46927272646545E-00003, -.31627614653404E-00006, 0.19920502692230E+00001, 0.10000003460462E+00001, 0.28860941414147E+00000, -.10671741376905E+00002, 0.46927177249821E-00003, 0.95396723985808E-00009
0.15340393591453E+00000, 0.46963351279250E-00003, 0.46560079703727E-00003, 0.12492900802304E+00000, 0.12492820618983E+00000, 0.37570833759483E+00000, 0.46963338082912E-00003, 0.46963351279250E-00003, 0.46963342481689E-00003, -.40326277796265E-00005, 0.19877488812475E+00001, 0.10000004286990E+00001, 0.28859314847843E+00000, -.10671741579686E+00002, 0.46963324886570E-00003, 0.17595117887349E-00009
0.18408488975633E+00000, 0.47008708949959E-00003, 0.46151897335754E-00003, 0.12491490213027E+00000, 0.12491398642493E+00000, 0.37607185282992E+00000, 0.47008705080747E-00003, 0.47008708949959E-00003, 0.47008706370485E-00003, -.85680903473081E-00005, 0.19825340855594E+00001, 0.10000005114954E+00001, 0.28857685530925E+00000, -.10671741782646E+00002, 0.47008701211536E-00003, 0.51589484138293E-00010
0.21476593244714E+00000, 0.47063386404360E-00003, 0.45821662897566E-00003, 0.12490081279505E+00000, 0.12489987770814E+00000, 0.37650984646085E+00000, 0.47063375609402E-00003, 0.47063386404360E-00003, 0.47063379207720E-00003, -.12417163101533E-00004, 0.19764098895745E+00001, 0.10000005953145E+00001, 0.28856058034671E+00000, -.10671741985824E+00002, 0.47063364814447E-00003, 0.14393273152514E-00009
0.24544749447656E+00000, 0.47127533045165E-00003, 0.45584281648109E-00003, 0.12488693211332E+00000, 0.12488586192193E+00000, 0.37702377559388E+00000, 0.47127483431950E-00003, 0.47127533045165E-00003, 0.47127499969690E-00003, -.15432183215814E-00004, 0.19693894738139E+00001, 0.10000006813818E+00001, 0.28854454550765E+00000, -.10671742189264E+00002, 0.47127433818740E-00003, 0.66150949786614E-00009
0.27612974100978E+00000, 0.47201209014000E-00003, 0.45809044672397E-00003, 0.12487334087063E+00000, 0.12487185574933E+00000, 0.37761446303583E+00000, 0.47201104749546E-00003, 0.47201209014000E-00003, 0.47201139504364E-00003, -.13920948319674E-00004, 0.19615005709417E+00001, 0.10000007696611E+00001, 0.28852884416251E+00000, -.10671742393010E+00002, 0.47201000485094E-00003, 0.13901926847038E-00008
0.30681259545140E+00000, 0.47284232132120E-00003, 0.46345065972979E-00003, 0.12485983196135E+00000, 0.12485771707910E+00000, 0.37828123677264E+00000, 0.47284148340843E-00003, 0.47284232132120E-00003, 0.47284176271271E-00003, -.93911029829175E-00005, 0.19527711869234E+00001, 0.10000008583158E+00001, 0.28851323708668E+00000, -.10671742597097E+00002, 0.47284064549572E-00003, 0.11172169708824E-00008
0.33749593130931E+00000, 0.47376635806716E-00003, 0.46604539184440E-00003, 0.12484616354035E+00000, 0.12484344694601E+00000, 0.37902286081084E+00000, 0.47376607360339E-00003, 0.47376635806716E-00003, 0.47376616842467E-00003, -.77207765802744E-00005, 0.19432076231619E+00001, 0.10000009453483E+00001, 0.28849744486488E+00000, -.10671742801567E+00002, 0.47376578913960E-00003, 0.37928503778429E-00009
0.36817976303519E+00000, 0.47478586239094E-00003, 0.46563561045727E-00003, 0.12483225750889E+00000, 0.12482914771332E+00000, 0.37983944500306E+00000, 0.47478577349777E-00003, 0.47478586239094E-00003, 0.47478580312883E-00003, -.91501926715600E-00005, 0.19327987571273E+00001, 0.10000010304369E+00001, 0.28848137722551E+00000, -.10671743006465E+00002, 0.47478568460454E-00003, 0.11852427183227E-00009
0.39886433661464E+00000, 0.47590195449287E-00003, 0.46292183735615E-00003, 0.12481824440984E+00000, 0.12481489505136E+00000, 0.38073309237338E+00000, 0.47590189576634E-00003, 0.47590195449287E-00003, 0.47590191534186E-00003, -.12980077985705E-00004, 0.19215522349202E+00001, 0.10000011155002E+00001, 0.28846518497020E+00000, -.10671743211835E+00002, 0.47590183703982E-00003, 0.78302036081999E-00010
0.42954966119511E+00000, 0.47711698611383E-00003, 0.45900479623853E-00003, 0.12480441030033E+00000, 0.12480075273378E+00000, 0.38170638669818E+00000, 0.47711660771900E-00003, 0.47711698611383E-00003, 0.47711673385058E-00003, -.18111937612047E-00004, 0.19095162931719E+00001, 0.10000012034650E+00001, 0.28844919864721E+00000, -.10671743417722E+00002, 0.47711622932416E-00003, 0.50452644435679E-00009
0.46023577766418E+00000, 0.47843211036651E-00003, 0.45874582689865E-00003, 0.12479089158070E+00000, 0.12478668615164E+00000, 0.38276043220451E+00000, 0.47843114691655E-00003, 0.47843211036651E-00003, 0.47843146806652E-00003, -.19685641167874E-00004, 0.18967497029491E+00001, 0.10000012955143E+00001, 0.28843357592428E+00000, -.10671743624164E+00002, 0.47843018346659E-00003, 0.12845999487289E-00008
0.49092267032388E+00000, 0.47984609639406E-00003, 0.46295322810376E-00003, 0.12477752013055E+00000, 0.12477254948142E+00000, 0.38389461135230E+00000, 0.47984510356123E-00003, 0.47984609639406E-00003, 0.47984543450551E-00003, -.16892206401743E-00004, 0.18832771277659E+00001, 0.10000013895788E+00001, 0.28841812255884E+00000, -.10671743831201E+00002, 0.47984411072843E-00003, 0.13237770554982E-00008
0.50000000000000E+00000, 0.48028362563780E-00003, 0.46423591859635E-00003, 0.12477355603466E+00000, 0.12476834111572E+00000, 0.38424563226921E+00000, 0.48028277565318E-00003, 0.48028362563780E-00003, 0.48028305898136E-00003, -.16047140385011E-00004, 0.18791520203321E+00001, 0.10000014172546E+00001, 0.28841354109988E+00000, -.10671743892564E+00002, 0.48028192566859E-00003, 0.11333128034482E-00008
0.52148113945576E+00000, 0.48135253271971E-00003, 0.46603585153923E-00003, 0.12476412478349E+00000, 0.12475834585920E+00000, 0.38510290672566E+00000, 0.48135211046749E-00003, 0.48135253271971E-00003, 0.48135225121820E-00003, -.15316399678968E-00004, 0.18691522757273E+00001, 0.10000014818081E+00001, 0.28840264074552E+00000, -.10671744038002E+00002, 0.48135168821524E-00003, 0.56300299540053E-00009
0.55216867467420E+00000, 0.48296663678573E-00003, 0.46547722871499E-00003, 0.12475051357391E+00000, 0.12474404554117E+00000, 0.38639615801579E+00000, 0.48296655801040E-00003, 0.48296663678573E-00003, 0.48296658426884E-00003, -.17489355553848E-00004, 0.18542566773011E+00001, 0.10000015715598E+00001, 0.28838690859551E+00000, -.10671744246357E+00002, 0.48296647923504E-00003, 0.10503381323812E-00009
0.58285650273924E+00000, 0.48468395912623E-00003, 0.46294911990907E-00003, 0.12473678518970E+00000, 0.12472979641600E+00000, 0.38777146950153E+00000, 0.48468389053446E-00003, 0.48468395912623E-00003, 0.48468391339835E-00003, -.21734793489286E-00004, 0.18386780590995E+00001, 0.10000016606214E+00001, 0.28837104014296E+00000, -.10671744455442E+00002, 0.48468382194267E-00003, 0.91455689026882E-00010
0.61354422208854E+00000, 0.48650601848606E-00003, 0.46018249921169E-00003, 0.12472308035199E+00000, 0.12471563622313E+00000, 0.38923099465012E+00000, 0.48650567534878E-00003, 0.48650601848606E-00003, 0.48650578972784E-00003, -.26323290516143E-00004, 0.18224628821923E+00001, 0.10000017528606E+00001, 0.28835519803649E+00000, -.10671744665304E+00002, 0.48650533221149E-00003, 0.45751637792898E-00009
0.64423197087068E+00000, 0.48843440485478E-00003, 0.46220006571382E-00003, 0.12470950707916E+00000, 0.12470150232471E+00000, 0.39077597929380E+00000, 0.48843344467443E-00003, 0.48843440485478E-00003, 0.48843376473450E-00003, -.26233699020682E-00004, 0.18056572635909E+00001, 0.10000018497704E+00001, 0.28833950715451E+00000, -.10671744875982E+00002, 0.48843248449408E-00003, 0.12802404620759E-00008
0.67491994833423E+00000, 0.49046857236840E-00003, 0.47040539692726E-00003, 0.12469597152220E+00000, 0.12468720087912E+00000, 0.39240660812957E+00000, 0.49046755294356E-00003, 0.49046857236840E-00003, 0.49046789275184E-00003, -.20062495824579E-00004, 0.17882970168891E+00001, 0.10000019485261E+00001, 0.28832385902223E+00000, -.10671745087519E+00002, 0.49046653351873E-00003, 0.13592331164558E-00008
0.70560811057611E+00000, 0.49260950327928E-00003, 0.47774805647444E-00003, 0.12468232661719E+00000, 0.12467264132642E+00000, 0.39412274777920E+00000, 0.49260904912083E-00003, 0.49260950327928E-00003, 0.49260920050699E-00003, -.14861144032556E-00004, 0.17703970185060E+00001, 0.10000020448643E+00001, 0.28830808361565E+00000, -.10671745299962E+00002, 0.49260859496238E-00003, 0.60554461480770E-00009
0.73629634747520E+00000, 0.49486020037224E-00003, 0.48017900420076E-00003, 0.12466852468819E+00000, 0.12465793023204E+00000, 0.39592510953573E+00000, 0.49486005838534E-00003, 0.49486020037224E-00003, 0.49486010571432E-00003, -.14681101513563E-00004, 0.17519574056207E+00001, 0.10000021373983E+00001, 0.28829212578932E+00000, -.10671745513366E+00002, 0.49485991639851E-00003, 0.18931582174663E-00009
